issue_id,university_code,institute_name,universities_raw,primary_layer,category,rca_group_category,issue_title,rca_description,solutioning_direction,status
ISS-001,Aurora,Aurora University,"Aurora, MRV, CDU",Learning Design Layer,Learning Platform,Platform Concurrency & IDE Reliability,"React: Cloud IDE - 5-30 min open times, npm install/submission slow, white screen on preview, 500/502 errors, submission failures, test case failures post routers, import failures, package.json issues","Learning Platform: Latency Issues: Identified latency is caused by pulling the IDE Docker image. The current image size is 1.5 GB, resulting in slow image download times during startup. Remote Server Issues: Rajesh X Evaluation Process Issues: 1. NodeJS deprecated methods are being used to test - util undefined. 2. If a user adds new packages to package.json, but the evaluation is performed using the default package.json that does not include those user-added dependencies, the application will encounter import errors because the required packages are not installed in the evaluation environment. Content Design/Development: No Specific Instructons about Precautions with IDE","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-001,MRV,Malla Reddy Vishwavidyapeeth,"Aurora, MRV, CDU",Learning Design Layer,Learning Platform,Platform Concurrency & IDE Reliability,"React: Cloud IDE - 5-30 min open times, npm install/submission slow, white screen on preview, 500/502 errors, submission failures, test case failures post routers, import failures, package.json issues","Learning Platform: Latency Issues: Identified latency is caused by pulling the IDE Docker image. The current image size is 1.5 GB, resulting in slow image download times during startup. Remote Server Issues: Rajesh X Evaluation Process Issues: 1. NodeJS deprecated methods are being used to test - util undefined. 2. If a user adds new packages to package.json, but the evaluation is performed using the default package.json that does not include those user-added dependencies, the application will encounter import errors because the required packages are not installed in the evaluation environment. Content Design/Development: No Specific Instructons about Precautions with IDE","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-001,CDU,Chaitanya Deemed-to-be University,"Aurora, MRV, CDU",Learning Design Layer,Learning Platform,Platform Concurrency & IDE Reliability,"React: Cloud IDE - 5-30 min open times, npm install/submission slow, white screen on preview, 500/502 errors, submission failures, test case failures post routers, import failures, package.json issues","Learning Platform: Latency Issues: Identified latency is caused by pulling the IDE Docker image. The current image size is 1.5 GB, resulting in slow image download times during startup. Remote Server Issues: Rajesh X Evaluation Process Issues: 1. NodeJS deprecated methods are being used to test - util undefined. 2. If a user adds new packages to package.json, but the evaluation is performed using the default package.json that does not include those user-added dependencies, the application will encounter import errors because the required packages are not installed in the evaluation environment. Content Design/Development: No Specific Instructons about Precautions with IDE","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-002,Aurora,Aurora University,Aurora,Learning Design Layer,Learning Platform,Platform Concurrency & IDE Reliability,"GenAI: n8n IDE - workflows won't run, can't submit questions, loading/hang issues even on 12GB RAM machines; works on Edge","Product: Latency Issues: Have Support for running instances for X users Evaluation Process Issues: Rajesh Y Learning Design Issues: Scheduling Layer: Auora might have no slots left Curriculum/Content Design/Development Market Changes Very Fast: Composio, Rapid API, Gemini, Freepik n8n Node Deprecation / Pricing Changes, Some n8n nodes may get deprecated. Certain integrations (example: Twitter/X related nodes) may move to a paid model or change access policies. Existing workflows can break after updates.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-036,Aurora,Aurora University,Aurora,Learning Design Layer,Content&Curriculum,Platform Concurrency & IDE Reliability,GenAI: Kaggle inaccessible during hands-on; 3 shared IPs for 1300+ students,"Curriculum/Content Design/Development: This situation arises due to network-scale and rate-limiting on Kaggle, as multiple users are accessing the same notebook from a few shared IPs. It is an external limitation and not something the curriculum team can control Note: The current description lacks sufficient detail to identify the root cause. Please provide a more specific account of the issue, including the exact error message or a clear explanation of the blocker being encountered.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-037,MRV,Malla Reddy Vishwavidyapeeth,MRV,Learning Design Layer,Content&Curriculum,Platform Concurrency & IDE Reliability,GenAI: Using n8n website since portal playground won't load,"Embedded n8n playground fails to load at MRV; students self-route to n8n.com. No environment health checks per campus, so the team learns of outages from student workarounds.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-052,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design Layer,Content&Curriculum,Platform Concurrency & IDE Reliability,English: Speaking bot errors under multi-user load,"Speaking bot backend (ASR/LLM pipeline) not provisioned for classroom-scale concurrency. Capacity planning assumed individual async usage, not 40+ simultaneous sessions.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-087,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design - Learning Platform (Product),Learning Platform,Platform Concurrency & IDE Reliability,Classroom quiz glitches - students randomly thrown out,Session/state management instability in the quiz module under classroom load (simultaneous starts). No crash/session-drop telemetry per quiz event.,"One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-089,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design - Learning Platform (Product),Learning Platform,Platform Concurrency & IDE Reliability,Module quiz throws server error under simultaneous load,"Quiz service not capacity-tested at full-classroom concurrency. Same systemic gap as React IDE and speaking bot: load planning assumes async individual usage, but NIAT usage is synchronized cohorts.","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
ISS-090,CDU,Chaitanya Deemed-to-be University,CDU,Learning Design - Learning Platform (Product),Learning Platform,Platform Concurrency & IDE Reliability,Reading material won't open under heavy concurrent load,"Same synchronized-cohort concurrency gap, content-delivery side (CDN/origin not provisioned for spike loads).","One reliability program: provision and load-test every student-facing service at full-cohort concurrency (8,000 IDE instances target); slim images and pre-warm pools; fix evaluation pipeline defects; graceful error handling for AWS/pnpm/internal errors; per-campus health monitoring; resolve third-party rate limits (Kaggle shared IPs).",Pending
